study_group,survey,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,estimate_type,study,framing_Z_type,type,mode,x_pid3,AD_Z_party_sure_thing,knobe_Z_type,outcome_group,term_group,attribute,level,attribute_ref,outcome_label,outcome_factor
Hyman & Sheatsley (1950),Hyman and Sheatsley (1950),russians_Z,0.3709840486806602,0.026598432677077538,13.947590566130362,4.0379008004151915e-41,0.31880005174900794,0.42316804561231247,1214,russians_Y,Unstandardized,Pre-COVID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyman & Sheatsley (1950),Schuman and Presser (1980),russians_Z,0.1994850309854236,0.03596721751532565,5.546301459111285,4.191155379569952e-8,0.1288639510039019,0.2701061109669453,675,russians_Y,Unstandardized,Pre-COVID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyman & Sheatsley (1950),Schuman et al. (1983),russians_Z,0.256490134994808,0.06407934509321049,4.002695948619867,8.538143921946253e-5,0.13020849573233068,0.3827717742572853,222,russians_Y,Unstandardized,Pre-COVID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyman & Sheatsley (1950),Week 3,russians_Z,0.25387482979024106,0.029680438161317303,8.553607881743392,4.2440645441156804e-17,0.19563413264385746,0.31211552693662464,1035,russians_Y,Unstandardized,Replication,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyman & Sheatsley (1950),Hyman and Sheatsley (1950),russians_Z,0.3709840486806602,0.026598432677077538,13.947590566130362,4.0379008004151915e-41,0.31880005174900794,0.42316804561231247,1214,russians_Y,Standardized,Pre-COVID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyman & Sheatsley (1950),Schuman and Presser (1980),russians_Z,0.1994850309854236,0.03596721751532565,5.546301459111285,4.191155379569952e-8,0.1288639510039019,0.2701061109669453,675,russians_Y,Standardized,Pre-COVID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyman & Sheatsley (1950),Schuman et al. (1983),russians_Z,0.256490134994808,0.06407934509321049,4.002695948619867,8.538143921946253e-5,0.13020849573233068,0.3827717742572853,222,russians_Y,Standardized,Pre-COVID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyman & Sheatsley (1950),Week 3,russians_Z,0.25387482979024106,0.029680438161317303,8.553607881743392,4.2440645441156804e-17,0.19563413264385746,0.31211552693662464,1035,russians_Y,Standardized,Replication,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tversky & Kaheneman (1981) - Cheap/Expensive,Many Labs (2018),framing_ZCheap,0.16326312576312327,0.01531263388194401,10.661988461412639,3.669951609204237e-26,0.1332410673023255,0.19328518422392105,3690,framing_travel_Y,Unstandardized,Pre-COVID,Original,Pre-COVID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tversky & Kaheneman (1981) - Cheap/Expensive,Tversky and Kahneman (1981),framing_ZCheap,0.39332844574780074,0.06865116059940435,5.729377949528991,4.19569193196214e-8,0.2578587374974726,0.5287981539981288,179,framing_travel_Y,Unstandardized,Pre-COVID,Original,Pre-COVID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
