year,date,completes
2019,2019-01-03,5267
2019,2019-01-10,5045
2019,2019-01-17,255
2019,2019-01-24,498
2019,2019-01-31,12667
2019,2019-02-07,7451
2019,2019-02-14,8096
2019,2019-02-21,2053
2019,2019-02-28,9156
2019,2019-03-07,16851
2019,2019-03-14,11735
2019,2019-03-21,11744
2019,2019-03-28,11923
2019,2019-04-04,13281
2019,2019-04-11,12192
2019,2019-04-18,21277
2019,2019-04-25,10589
2019,2019-05-02,17106
2019,2019-05-09,11440
2019,2019-05-16,7309
2019,2019-05-23,7048
2019,2019-05-30,23859
2019,2019-06-06,10379
2019,2019-06-13,10378
2019,2019-06-20,18092
2019,2019-06-27,16252
2019,2019-07-04,5802
2019,2019-07-11,11059
2019,2019-07-18,20906
2019,2019-07-25,14988
2019,2019-08-01,22393
2019,2019-08-08,24725
2019,2019-08-15,20491
2019,2019-08-22,17442
2019,2019-08-29,6102
2019,2019-09-05,10857
2019,2019-09-12,16637
2019,2019-09-19,15562
2019,2019-09-26,18133
2019,2019-10-03,24019
2019,2019-10-10,12563
2019,2019-10-17,33260
2019,2019-10-24,19878
2019,2019-10-31,16046
2019,2019-11-07,19549
2019,2019-11-14,22892
2019,2019-11-21,18401
2019,2019-11-28,16169
2019,2019-12-05,18123
2019,2019-12-12,17251
2019,2019-12-19,15367
2019,2019-12-26,8726
2020,2020-01-02,8956
2020,2020-01-09,16155
2020,2020-01-16,36054
2020,2020-01-23,33650
2020,2020-01-30,26485
2020,2020-02-06,42202
2020,2020-02-13,40405
2020,2020-02-20,39799
2020,2020-02-27,24608
2020,2020-03-05,19216
2020,2020-03-12,23172
2020,2020-03-19,30934
2020,2020-03-26,32073
2020,2020-04-02,48996
2020,2020-04-09,73478
2020,2020-04-16,42343
2020,2020-04-23,42139
2020,2020-04-30,64555
2020,2020-05-07,54153
2020,2020-05-14,56898
2020,2020-05-21,66166
2020,2020-05-28,66617
2020,2020-06-04,37501
2020,2020-06-11,41446
2020,2020-06-18,47346
2020,2020-06-25,42944
2020,2020-07-02,37402
2020,2020-07-09,48081
2020,2020-07-16,52630
2020,2020-07-23,43612
2020,2020-07-30,38850
2020,2020-08-06,25186
2020,2020-08-13,55923
2020,2020-08-20,49378
2020,2020-08-27,46921
2020,2020-09-03,38708
2020,2020-09-10,21595
2020,2020-09-17,50359
2020,2020-09-24,44102
2020,2020-10-01,44518
2020,2020-10-08,61675
2020,2020-10-15,50736
2020,2020-10-22,52508
2020,2020-10-29,112696
2020,2020-11-05,37184
2020,2020-11-12,23171
2020,2020-11-19,20485
2020,2020-11-26,21078
2020,2020-12-03,38949
2020,2020-12-10,24067
2020,2020-12-17,43056
2020,2020-12-24,27975
2020,2020-12-31,16251
2021,2021-01-07,9246
2021,2021-01-14,30593
2021,2021-01-21,28254
2021,2021-01-28,32287
2021,2021-02-04,22532
2021,2021-02-11,25293
2021,2021-02-18,21373
2021,2021-02-25,52209
2021,2021-03-04,32332
2021,2021-03-11,42002
2021,2021-03-18,5351
