study_group,study_group_detail,estimate_pre,std.error_pre,conf.low_pre,conf.high_pre,estimate_ycls,std.error_ycls,conf.low_ycls,conf.high_ycls,estimate_diff,se_diff,p_diff,p_adjust,sign_diff,sig_diff,sig_diff_adj
Druckman (2001),Republicans' Program,0.3310052041369002,0.1640330359015435,0.009500453769874961,0.6525099545039255,0.1269695669225608,0.06145000050769057,0.006527565927487294,0.24741156791763433,-0.2040356372143394,0.17516546300418992,0.24409324224614237,0.35027321316760207,FALSE,Not Significant,Not Significant
Druckman (2001),Democrats' Program,0.4530041401034528,0.15958817768686787,0.14021131183719177,0.7657969683697139,0.20380626786830552,0.062114539818542036,0.08206176982396314,0.3255507659126479,-0.24919787223514728,0.17125011682998803,0.14562246300048587,0.23984876258903554,FALSE,Not Significant,Not Significant
Druckman (2001),Program A,1.0502175372857254,0.1748891817607769,0.7074347410346027,1.3930003335368482,0.33298660643496486,0.059496836071999154,0.21637280773384654,0.4496004051360832,-0.7172309308507605,0.1847325076956744,1.0337197117049612e-4,3.2160168808598795e-4,FALSE,Significant,Significant
Gilens (2001),Foreign aid misperceptions,0.21244362575314402,0.06352206011912954,0.08794038791965011,0.33694686358663795,-0.05245503955239242,0.06176548235288465,-0.17351538496404634,0.06860530585926149,-0.2648986653055364,0.08860037771963962,0.002791472106527859,0.006513434915231672,TRUE,Significant,Significant
Hyman & Sheatsley (1950),Russian reporters,0.30495410944447165,0.020285925444507413,0.26519369557323713,0.3447145233157062,0.25387482979024106,0.029680438161317303,0.19570117099405915,0.312048488586423,-0.05107927965423059,0.03595062142144269,0.15536976031734429,0.24168629382698,FALSE,Not Significant,Not Significant
Knobe (2003),Perceived Intentionality,1.9696325063331832,0.03610180989545625,1.898872958938089,2.0403920537282776,0.8404183699408518,0.061883464843497556,0.7191267788475966,0.9617099610341071,-1.1292141363923314,0.07164428727235732,0,0,FALSE,Significant,Significant
Peyton (2020),Redistribution,7.550697845806826e-5,0.037983748895818056,-0.07437264085734532,0.07452365481426146,-0.04358679069385813,0.078778081537782485,-0.1979918305079118,0.11081824912019556,-0.0436622976723162,0.08745713985120977,0.6176087464232558,0.640483144438932,TRUE,Not Significant,Not Significant
Peyton (2020),Trust in Government,0.6233107909980574,0.041047228959577624,0.5428582222372853,0.7037633597588295,0.1567766943287688,0.07610016288029585,0.007620375083388947,0.3059330135741487,-0.4665340966692886,0.08646450020480975,6.82674976548725e-8,2.7306999061949e-7,FALSE,Significant,Significant
Porter et al. (2018),D.C. Pizzagate,0.4752932939840858,0.0740105136034648,0.3302326873212948,0.6203539006468768,0.38441572944493846,0.10353161933302549,0.1814937555522085,0.5873377033376684,-0.09087756453914736,0.12726489038838304,0.4751764898496049,0.5321976686315576,FALSE,Not Significant,Not Significant
Porter et al. (2018),Podesta,0.6120357562203295,0.06903553199659407,0.4767261135070051,0.7473453989336538,0.15441939068070001,0.10691595260695295,-0.05513587642892778,0.3639746577903278,-0.4576163655396295,0.1272671426563234,3.235019005904949e-4,8.234593833212597e-4,FALSE,Significant,Significant
Porter et al. (2018),Russian hackers,0.9477800711787797,0.07804562152297392,0.7948106529937509,1.1007494893638086,0.6717271291947566,0.11681047152872716,0.4427786049984514,0.9006756533910618,-0.2760529419840231,0.14048418166352705,0.04941298114532433,0.09882596229064866,FALSE,Significant,Not Significant
Porter et al. (2018),Scaramucci,0.5584456754957928,0.08233779076748873,0.3970636055915149,0.7198277454000708,0.23258969036794072,0.10684808755577557,0.023167438758620595,0.44201194197726085,-0.3258559851278521,0.13489264473201434,0.015706330336476837,0.0338290191862578,FALSE,Significant,Significant
Porter et al. (2018),Sex trafficking,0.5312126809108219,0.07136802161169076,0.391331358551908,0.6710940032697357,0.042469977034189955,0.10861595639657787,-0.17041729750310267,0.2553572515714826,-0.4887427038766319,0.12996468940720038,1.6951936813169866e-4,4.746542307687562e-4,FALSE,Significant,Significant
Porter et al. (2018),Obama Birtherism,0.24433206689918485,0.06939492777763671,0.1083180084550169,0.38034612534335277,0.14040360992347609,0.11073379519276916,-0.07663462865435147,0.35744184850130367,-0.10392845697570877,0.13068140418229965,0.42644997793055306,0.49752497425231196,FALSE,Not Significant,Not Significant
Press et al. (2013),Approve Nukes (90/45),0.5434818161642736,0.05121746731632977,0.44309558022426726,0.64386805210428,-0.0903480459918592,0.06483460326332702,-0.21742386838798014,0.03672777640426175,-0.6338298621561328,0.08262417768796446,1.709743457922741e-14,1.1968204205459188e-13,TRUE,Significant,Significant
Press et al. (2013),Approve Nukes (90/70),0.29807905708463106,0.05350705820405024,0.1932052230046926,0.40295289116456956,-0.07728653983157353,0.0643664305412146,-0.20344474369235416,0.048871664029207076,-0.3753655969162046,0.08370210665370749,7.3070777886208305e-6,2.5574772260172907e-5,TRUE,Significant,Significant
Press et al. (2013),Prefer Nukes (90/45),1.4495512271219166,0.06420932760540356,1.3237009450153256,1.5754015092285076,0.36235856080770923,0.0743616038649811,0.2166098172323463,0.5081073043830722,-1.0871926663142073,0.0982470655078838,0,0,FALSE,Significant,Significant
Press et al. (2013),Prefer Nukes (90/70),1.014709517271019,0.06710079922515683,0.8831919507897116,1.1462270837523263,0.22535043280693598,0.07057920772512748,0.08701518566568614,0.3636856799481858,-0.789359084464083,0.09738553188108334,4.440892098500626e-16,4.144832625267251e-15,FALSE,Significant,Significant
Press et al. (2013),Ethical Strike (Nuclear),0.224909673320711,0.05336386800526494,0.1203164920303917,0.3295028546110303,0.07291501548415656,0.06437419088236881,-0.05325839864528632,0.19908842961359946,-0.15199465783655441,0.08361661832580289,0.06910134629821041,0.12092735602186822,FALSE,Not Significant,Not Significant
Press et al. (2013),Approve Strike (Nuclear),0.22573777430116937,0.055308619894859114,0.11733287930724551,0.33414266929509323,0.13456883777754913,0.06422102551910203,0.008695627760109154,0.26044204779498914,-0.09116893652362024,0.0847548438344332,0.2820712073913918,0.3760949431885224,FALSE,Not Significant,Not Significant
Smith (1987),Welfare v. Aid to Poor,0.702066457212681,0.03557513442920205,0.632339193731445,0.771793720693917,0.4344711671138927,0.01812812837887351,0.39894003549130064,0.4700022987364848,-0.2675952900987883,0.03992767496582685,2.05586658807988e-11,1.1512852893247327e-10,FALSE,Significant,Significant
Trump & White (2018),Economic System Justification,0.1943300973321597,0.09235785314255614,0.01330870517274968,0.3753514894915697,0.05741505064718685,0.07515025966323334,-0.08987945829275049,0.2047095595871242,-0.13691504668497284,0.1190694526927598,0.25019515226257294,0.35027321316760207,FALSE,Not Significant,Not Significant
Trump & White (2018),Institutional Trust,0.14731499381617535,0.1120248303748187,-0.07225367371846927,0.36688366135081996,0.07668513648557432,0.07462418989647156,-0.06957827571150993,0.22294854868265856,-0.07062985733060104,0.1346043548263263,0.5997765075242554,0.640483144438932,FALSE,Not Significant,Not Significant
Trump & White (2018),System Justification,0.19848612120613865,0.10620054197383487,-0.009666941062577677,0.40663918347485495,0.07323374026348352,0.07468008980240722,-0.07313923574923463,0.21960671627620165,-0.12525238094265512,0.1298293916200483,0.3346720694422578,0.40742686714709647,FALSE,Not Significant,Not Significant
Trump & White (2018),Inequality increased,0.5539690409659892,0.06073695882551479,0.4349246016679802,0.6730134802639982,0.4598373950178812,0.07527059367180251,0.31230703142114824,0.6073677586146141,-0.09413164594810802,0.0967193901918218,0.33043163759367267,0.40742686714709647,FALSE,Not Significant,Not Significant
Trump & White (2018),Rich's share of income changed,0.36493824655810947,0.061710162952530276,0.24398632717115012,0.48589016594506884,0.34113007410771884,0.08028572020573152,0.18377006250448508,0.4984900857109526,-0.02380817245039063,0.10126174539568655,0.8141193449836903,0.8141193449836903,FALSE,Not Significant,Not Significant
Tversky & Kaheneman (1981) - Cheap/Expensive,Cheap v. Expensive Framing,0.3530271100505353,0.030379793996488547,0.29348271381741775,0.4125715062836528,0.2228968094887381,0.06175971090846977,0.10184777610813736,0.3439458428693388,-0.13013030056179717,0.06882727493346545,0.058667173976987064,0.10951205809037586,FALSE,Not Significant,Not Significant
Tversky & Kaheneman (1981) - Gain/Loss,Gain v. Loss Framing,0.5942578948129076,0.028520511233736282,0.5383576927947845,0.6501580968310307,0.2994795837630353,0.038056532992810005,0.22488877909712768,0.3740703884289429,-0.2947783110498723,0.04755753635825256,5.705771410902116e-10,2.6626933250876545e-9,FALSE,Significant,Significant
