study_group,study_group_detail,estimate_pre,std.error_pre,conf.low_pre,conf.high_pre,estimate_ycls,std.error_ycls,conf.low_ycls,conf.high_ycls,estimate_diff,se_diff,p_diff,p_adjust,sign_diff,sig_diff,sig_diff_adj
Hainmueller & Hopkins (2015),Male,0.022019839510634503,0.010344324379536512,0.0017449637267429388,0.04229471529452607,0.019338685293544895,0.009775258515454048,1.7917860325496193e-4,0.03849819198383483,-0.0026811542170896083,0.014232383001909073,0.8505755874581338,0.924478263889889,FALSE,Not Significant,Not Significant
Hainmueller & Hopkins (2015),4th grade,0.048912877515247186,0.01871917079111799,0.012223302764655927,0.08560245226583844,0.034712799290666556,0.018735728229928764,-0.0020092280399938225,0.07143482662132694,-0.01420007822458063,0.02648461567425124,0.5918457138599196,0.8652696469089591,FALSE,Not Significant,Not Significant
Hainmueller & Hopkins (2015),8th grade,0.05794474303688871,0.018757203559736174,0.021180624059805808,0.0947088620139716,0.037241373820819816,0.019255170972183343,-4.987612846595324e-4,0.07498150892629916,-0.02070336921606889,0.026881114086834114,0.4411915204004324,0.8033056231555241,FALSE,Not Significant,Not Significant
Hainmueller & Hopkins (2015),High school,0.11594816756108896,0.018395152809597165,0.07989366805427851,0.1520026670678994,0.05961721505108673,0.01901674200452271,0.022344400722222227,0.09689002937995124,-0.056330952510002225,0.02645785560764532,0.03324745052833511,0.13631454716617394,FALSE,Significant,Not Significant
Hainmueller & Hopkins (2015),Two-year college,0.14947154535215668,0.01905969252788601,0.11211454799750009,0.18682854270681326,0.1057335019377555,0.018057254132095836,0.07034128383884766,0.14112572003666335,-0.04373804341440117,0.026255214835316922,0.0957372714033018,0.28335864757156676,FALSE,Not Significant,Not Significant
Hainmueller & Hopkins (2015),College degree,0.1866503663954584,0.020057365605426297,0.14733792980882288,0.22596280298209392,0.12444334051902811,0.01833974715496898,0.08849743609528891,0.1603892449427673,-0.06220702587643029,0.02717801024243553,0.022086706692747482,0.10061721937807186,FALSE,Significant,Not Significant
Hainmueller & Hopkins (2015),Graduate degree,0.1717376017283907,0.018846793461657314,0.13479788654354236,0.20867731691323904,0.1355851633492425,0.018537106086969252,0.09925243541878277,0.17191789127970225,-0.036152438379148194,0.026435315883603913,0.17144323572140663,0.42340011145992545,FALSE,Not Significant,Not Significant
Hainmueller & Hopkins (2015),Broken English,0.06531039280244937,0.014187571559594069,0.03750275254564499,0.09311803305925374,0.0431412105287168,0.01344463327323153,0.016789729313183,0.0694926917442506,-0.022169182273732567,0.019545980420799743,0.25670784733039453,0.5262510870273087,FALSE,Not Significant,Not Significant
Hainmueller & Hopkins (2015),Tried English but unable,0.13229355164270037,0.014142400172647692,0.1045744473043109,0.16001265598108985,0.08669932948971636,0.013805485011060773,0.05964057886803724,0.11375808011139547,-0.04559422215298402,0.019763575057006492,0.021055794702707464,0.10061721937807186,FALSE,Significant,Not Significant
Hainmueller & Hopkins (2015),Used interpreter,0.16317423179870336,0.014147821463653293,0.1354445017299429,0.1909039618674638,0.08779673627216716,0.0134048550059147,0.06152322046057435,0.11407025208375998,-0.07537749552653619,0.019489766286361804,1.0993776289436319e-4,0.0022537241393344454,FALSE,Significant,Significant
