dataset,study,estimate,std.error,statistic,p.value,conf.low,conf.high,df
"MTurk sample, Jun 2014",Original study:,0.6957080780619925,0.10589617614098827,6.569718599996842,1.0711051448107292e-10,0.4877481071051796,0.9036680490188055,618
"Qualtrics sample, Sep 2014",Original study:,0.42199124514509273,0.07238432688301198,5.8298704058838275,6.962768132361649e-9,0.2799905639173843,0.5639919263728012,1322
"MTurk sample, Mar 2017",Original study:,0.7252859715108254,0.05647974932409996,12.841522495946087,3.562305881178212e-36,0.6145130038659399,0.836058939155711,1795
Full Sample,Lucid replication:,0.1567766943287688,0.07610016288029585,2.060136120541235,0.03963875688623093,0.007445918811768287,0.3061074698457693,1020
Attentive: Passed ACQ,Lucid replication:,0.385328897491882,0.15194970803027055,2.53589758405537,0.011865165291732134,0.0859712487427457,0.6846865462410183,235
Inattentive: Failed ACQ,Lucid replication:,0.08366429495651713,0.0875748095721057,0.9553465815718525,0.339697308453879,-0.08824490860017271,0.255573498513207,783
Attentive: Internet browser,Lucid replication:,0.32926531360152156,0.0976306008500555,3.372562605726649,7.997654628415446e-4,0.13746985012812088,0.5210607770749223,524
Inattentive: Web-Application,Lucid replication:,-0.030590849329909128,0.11725456578995798,-0.2608926068150518,0.7942840481419254,-0.2609700101262497,0.19978831146643147,494
Attentive: Non-mobile device,Lucid replication:,0.5200367752279467,0.12133668563369916,4.285898963796284,2.3270501503059267e-5,0.28143652275607006,0.7586370276998233,368
Inattentive: Mobile device,Lucid replication:,-0.04238507557113483,0.09607755433961199,-0.4411548135510753,0.6592476225651007,-0.231044913796232,0.14627476265396233,650
