study_group_detail,study,estimate,std.error,study_group,conf.low,conf.high,statistic,p.value
Russian reporters,Pre-COVID summary,0.30495410944447165,0.020285925444507413,Hyman & Sheatsley (1950),0.26519369557323713,0.3447145233157062,15.032792577231943,0
Russian reporters,YCLS summary,0.25387482979024106,0.029680438161317303,Hyman & Sheatsley (1950),0.19570117099405915,0.312048488586423,8.553607881743392,0
Cheap v. Expensive Framing,Pre-COVID summary,0.3530271100505353,0.030379793996488547,Tversky & Kaheneman (1981) - Cheap/Expensive,0.29348271381741775,0.4125715062836528,11.620457666412747,0
Cheap v. Expensive Framing,YCLS summary,0.2228968094887381,0.06175971090846977,Tversky & Kaheneman (1981) - Cheap/Expensive,0.10184777610813736,0.3439458428693388,3.609097358293656,3.0726428574467946e-4
Gain v. Loss Framing,Pre-COVID summary,0.5942578948129076,0.028520511233736282,Tversky & Kaheneman (1981) - Gain/Loss,0.5383576927947845,0.6501580968310307,20.8361585787415,0
Gain v. Loss Framing,YCLS summary,0.2994795837630353,0.038056532992810005,Tversky & Kaheneman (1981) - Gain/Loss,0.22488877909712768,0.3740703884289429,7.869334387859655,3.552713678800501e-15
Welfare v. Aid to Poor,Pre-COVID summary,0.702066457212681,0.03557513442920205,Smith (1987),0.632339193731445,0.771793720693917,19.734752053006602,0
Welfare v. Aid to Poor,YCLS summary,0.4344711671138927,0.01812812837887351,Smith (1987),0.39894003549130064,0.4700022987364848,23.96668635799296,0
Republicans' Program,Pre-COVID summary,0.3310052041369002,0.1640330359015435,Druckman (2001),0.009500453769874961,0.6525099545039255,2.0179179292613796,0.04359980944267661
Republicans' Program,YCLS summary,0.1269695669225608,0.06145000050769057,Druckman (2001),0.006527565927487294,0.24741156791763433,2.066225644809724,0.03880717846622561
Democrats' Program,Pre-COVID summary,0.4530041401034528,0.15958817768686787,Druckman (2001),0.14021131183719177,0.7657969683697139,2.838582072115041,0.004531446439313358
Democrats' Program,YCLS summary,0.20380626786830552,0.062114539818542036,Druckman (2001),0.08206176982396314,0.3255507659126479,3.2811362438439344,0.0010338978931327958
Program A,Pre-COVID summary,1.0502175372857254,0.1748891817607769,Druckman (2001),0.7074347410346027,1.3930003335368482,6.005045747896923,1.91277971239856e-9
Program A,YCLS summary,0.33298660643496486,0.059496836071999154,Druckman (2001),0.21637280773384654,0.4496004051360832,5.596711160102806,2.1845620867821935e-8
