level,column,estimate,std.error,p.value
Easy,Browser,0.6590563165905643,0.01850762401212402,NA
Easy,Web-App,0.5448916408668737,0.019607969451626982,NA
Easy,Browser minus Web-App,0.1141646757236906,0.026963023061038364,2.2944838699689996e-5
Easy,Nonmobile,0.6310483870967734,0.021687697030890702,NA
Easy,Mobile,0.5848822800495673,0.01735610813217543,NA
Easy,Nonmobile minus Mobile,0.04616610704720603,0.027777521343695724,0.09651373759064041
Medium,Browser,0.5296803652968042,0.01948729557676258,NA
Medium,Web-App,0.36996904024767835,0.019010072789208132,NA
Medium,Browser minus Web-App,0.15971132504912583,0.027223841689723034,4.4482839633985805e-9
Medium,Nonmobile,0.49999999999999944,0.022473328748774755,NA
Medium,Mobile,0.4200743494423796,0.017385281215916617,NA
Medium,Nonmobile minus Mobile,0.07992565055761985,0.02841299892667103,0.004908227122813136
Hard,Browser,0.22289156626506015,0.016163330934475955,NA
Hard,Web-App,0.15394736842105256,0.013099778039600695,NA
Hard,Browser minus Web-App,0.0689441978440076,0.020805226544889917,9.203987548855874e-4
Hard,Nonmobile,0.24034334763948506,0.01981519037619907,NA
Hard,Mobile,0.15970772442588727,0.011841921494677034,NA
Hard,Nonmobile minus Mobile,0.0806356232135978,0.02308403938506227,4.773884107092119e-4
