time,n,replication_survey
2018-06-01,1600,FALSE
2018-07-01,3249,FALSE
2018-08-01,504,FALSE
2019-01-01,1128,FALSE
2019-02-01,978,FALSE
2019-03-01,660,FALSE
2019-04-01,3746,FALSE
2019-04-01,2681,FALSE
2019-05-01,1478,FALSE
2019-05-01,2523,FALSE
2019-06-01,2345,FALSE
2019-07-01,7068,FALSE
2019-07-01,7212,FALSE
2019-08-01,8557,FALSE
2019-08-01,422,FALSE
2019-08-01,1851,FALSE
2019-09-01,585,FALSE
2019-10-01,128,FALSE
2019-11-01,4950,FALSE
2019-12-01,4513,FALSE
2020-01-01,501,FALSE
2020-02-01,934,FALSE
2020-02-01,1771,FALSE
2020-03-30,1225,TRUE
2020-04-06,1187,TRUE
2020-04-13,1097,TRUE
2020-04-20,1415,TRUE
2020-04-27,1224,TRUE
2020-05-01,2291,FALSE
2020-05-04,1267,TRUE
2020-05-12,1234,TRUE
2020-05-18,1356,TRUE
2020-05-25,1424,TRUE
2020-06-01,1570,FALSE
2020-06-01,1377,TRUE
2020-06-08,1267,TRUE
2020-06-15,1249,TRUE
2020-07-13,1303,TRUE
