week,n,webapp_share,mobile_share
YCLS Week 1,1225,0.44081632653061226,0.6106122448979592
YCLS Week 2,1187,0.42881213142375735,0.582139848357203
YCLS Week 3,1097,0.3865086599817685,0.5469462169553327
YCLS Week 4,1415,0.1879858657243816,0.31236749116607776
YCLS Week 5,1224,0.3815359477124183,0.5130718954248366
YCLS Week 6,1267,0.40568271507498027,0.5272296764009471
YCLS Week 7,1234,0.5251215559157212,0.653160453808752
YCLS Week 8,1356,0.6069321533923304,0.7286135693215339
YCLS Week 9,1424,0.5337078651685393,0.672752808988764
YCLS Week 10,1377,0.4175744371822803,0.5686274509803921
YCLS Week 11,1267,0.4648776637726914,0.601420678768745
YCLS Week 12,1249,0.5820656525220176,0.6989591673338671
YCLS Week 13,1303,0.4957789716039908,0.6193399846508059
